Temperature,Formula,ZT
650,Pb0.999In0.001Te0.8Se0.2,0.5303151181220622
350,Pb0.9985La0.0015Te1,0.2917893085156278
400,Pb0.9985La0.0015Te1,0.4056160541564151
450,Pb0.9985La0.0015Te1,0.5327595972825209
500,Pb0.9985La0.0015Te1,0.6682037986742156
550,Pb0.9985La0.0015Te1,0.8024999386055872
600,Pb0.9985La0.0015Te1,0.9216172365215126
650,Pb0.9985La0.0015Te1,1.0082755811467268
700,Pb0.9985La0.0015Te1,1.0462673081947795
750,Pb0.9985La0.0015Te1,1.028286229306543
800,Pb0.9985La0.0015Te1,0.9639607228070202
300,Bi0.0026Pb0.9974Te0.88S0.12,0.1425487701204529
350,Bi0.0026Pb0.9974Te0.88S0.12,0.2180480966241931
400,Bi0.0026Pb0.9974Te0.88S0.12,0.3196214710755269
450,Bi0.0026Pb0.9974Te0.88S0.12,0.442290869815859
500,Bi0.0026Pb0.9974Te0.88S0.12,0.5745264486127047
550,Bi0.0026Pb0.9974Te0.88S0.12,0.7019098427698156
600,Bi0.0026Pb0.9974Te0.88S0.12,0.813209338191456
650,Bi0.0026Pb0.9974Te0.88S0.12,0.9042013851511468
700,Bi0.0026Pb0.9974Te0.88S0.12,0.9765979151697272
750,Bi0.0026Pb0.9974Te0.88S0.12,1.032757461166019
350,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.1198702141607394
400,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.1928410771525029
450,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.2820473134949903
500,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.3912652831328267
550,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.5171736967639411
600,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.6490383138859389
650,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.7728258297036749
700,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.8763880550005899
750,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.9515113704687386
800,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,0.9936016788950012
850,Pb1.0016Te0.75S0.15Se0.1Cl0.0032,1.0026835833340138
350,Pb0.985Ce0.015Te1,0.2861827814265354
400,Pb0.985Ce0.015Te1,0.3560216274665762
450,Pb0.985Ce0.015Te1,0.4258686649104122
500,Pb0.985Ce0.015Te1,0.4859655912504546
550,Pb0.985Ce0.015Te1,0.525350005501288
600,Pb0.985Ce0.015Te1,0.5387566999011475
650,Pb0.985Ce0.015Te1,0.5282239651484965
350,Pb1Te1Cl0.006,0.2158281232391143
400,Pb1Te1Cl0.006,0.3205941890399292
450,Pb1Te1Cl0.006,0.4149992626766953
500,Pb1Te1Cl0.006,0.4972299917808053
550,Pb1Te1Cl0.006,0.5703954158565494
600,Pb1Te1Cl0.006,0.638163730881553
650,Pb1Te1Cl0.006,0.7054214394370463
700,Pb1Te1Cl0.006,0.77919157380692
350,In0.01Ag0.015Sn0.975Te1,0.1208272501708431
400,In0.01Ag0.015Sn0.975Te1,0.1627032938553327
450,In0.01Ag0.015Sn0.975Te1,0.208138367891125
500,In0.01Ag0.015Sn0.975Te1,0.2508320344622354
550,In0.01Ag0.015Sn0.975Te1,0.2919547579150744
600,In0.01Ag0.015Sn0.975Te1,0.3374056626688886
650,In0.01Ag0.015Sn0.975Te1,0.3930359234571964
700,In0.01Ag0.015Sn0.975Te1,0.4598877734847208
750,In0.01Ag0.015Sn0.975Te1,0.5284732474558611
350,Pb1.0005Zn0.01Te1.01I0.001,0.3506504122977211
400,Pb1.0005Zn0.01Te1.01I0.001,0.4503850154569588
450,Pb1.0005Zn0.01Te1.01I0.001,0.5680733488310695
500,Pb1.0005Zn0.01Te1.01I0.001,0.7095568782472383
550,Pb1.0005Zn0.01Te1.01I0.001,0.8761233311362273
